dataset_key,city,scale,p_bin,day_count
chicago_lcs_corrected_no_collocation,Chicago,original,<0.001,259
chicago_lcs_corrected_no_collocation,Chicago,original,0.001-0.01,7
chicago_lcs_corrected_no_collocation,Chicago,original,0.01-0.05,3
chicago_lcs_corrected_no_collocation,Chicago,original,0.05-0.1,2
chicago_lcs_corrected_no_collocation,Chicago,original,>=0.1,1
chicago_lcs_corrected_no_collocation,Chicago,original,missing,1
chicago_lcs_corrected_no_collocation,Chicago,log,<0.001,258
chicago_lcs_corrected_no_collocation,Chicago,log,0.001-0.01,4
chicago_lcs_corrected_no_collocation,Chicago,log,0.01-0.05,3
chicago_lcs_corrected_no_collocation,Chicago,log,0.05-0.1,2
chicago_lcs_corrected_no_collocation,Chicago,log,>=0.1,5
chicago_lcs_corrected_no_collocation,Chicago,log,missing,1
dhaka_lcs,Dhaka,original,<0.001,123
dhaka_lcs,Dhaka,original,0.001-0.01,48
dhaka_lcs,Dhaka,original,0.01-0.05,42
dhaka_lcs,Dhaka,original,0.05-0.1,29
dhaka_lcs,Dhaka,original,>=0.1,123
dhaka_lcs,Dhaka,original,missing,0
dhaka_lcs,Dhaka,log,<0.001,128
dhaka_lcs,Dhaka,log,0.001-0.01,24
dhaka_lcs,Dhaka,log,0.01-0.05,21
dhaka_lcs,Dhaka,log,0.05-0.1,19
dhaka_lcs,Dhaka,log,>=0.1,173
dhaka_lcs,Dhaka,log,missing,0
lucknow_lcs,Lucknow,original,<0.001,167
lucknow_lcs,Lucknow,original,0.001-0.01,27
lucknow_lcs,Lucknow,original,0.01-0.05,35
lucknow_lcs,Lucknow,original,0.05-0.1,26
lucknow_lcs,Lucknow,original,>=0.1,110
lucknow_lcs,Lucknow,original,missing,0
lucknow_lcs,Lucknow,log,<0.001,125
lucknow_lcs,Lucknow,log,0.001-0.01,17
lucknow_lcs,Lucknow,log,0.01-0.05,28
lucknow_lcs,Lucknow,log,0.05-0.1,16
lucknow_lcs,Lucknow,log,>=0.1,179
lucknow_lcs,Lucknow,log,missing,0
