scope,dataset_key,city,feature_set,k,n_rows,inertia,silhouette,seed_used,iterations
sensor_level,chicago_lcs_corrected_no_collocation,Chicago,location_pm_uptime_density,2,277,1503.422406129203,0.5794083918792129,1642968595,4
sensor_level,chicago_lcs_corrected_no_collocation,Chicago,location_pm_uptime_density,3,277,1181.7900723931539,0.25352684318158186,2895900193,15
sensor_level,chicago_lcs_corrected_no_collocation,Chicago,location_pm_uptime_density,4,277,1014.7046313444706,0.2325088403377924,1802942759,6
sensor_level,chicago_lcs_corrected_no_collocation,Chicago,location_pm_uptime_density,5,277,892.2284131624579,0.24844003217851987,3115048276,14
sensor_level,chicago_lcs_corrected_no_collocation,Chicago,location_pm_uptime_density,6,277,788.922504255426,0.26332059864633034,4285070448,13
sensor_level,chicago_lcs_corrected_no_collocation,Chicago,location_pm_uptime_density,7,277,702.7426603150619,0.26267230099474814,3542227479,15
sensor_level,chicago_lcs_corrected_no_collocation,Chicago,location_pm_uptime_density,8,277,644.471286096649,0.2397020209564108,1785723285,6
sensor_level,dhaka_lcs,Dhaka,location_pm_uptime_density,2,35,191.3885075151021,0.29215619649485064,1160409172,2
sensor_level,dhaka_lcs,Dhaka,location_pm_uptime_density,3,35,157.07495072474978,0.20503385042490013,1246844265,3
sensor_level,dhaka_lcs,Dhaka,location_pm_uptime_density,4,35,133.75991705034957,0.21591535357183383,3987117954,6
sensor_level,dhaka_lcs,Dhaka,location_pm_uptime_density,5,35,113.321590793273,0.18900005221386595,631364066,3
sensor_level,dhaka_lcs,Dhaka,location_pm_uptime_density,6,35,97.65752613450415,0.19478979731803414,2670670799,3
sensor_level,dhaka_lcs,Dhaka,location_pm_uptime_density,7,35,83.05518222223736,0.27329767399670885,3856024289,3
sensor_level,dhaka_lcs,Dhaka,location_pm_uptime_density,8,35,67.2161978353865,0.2689507549027401,2401755974,7
sensor_level,lucknow_lcs,Lucknow,location_pm_uptime_density,2,71,400.18616206067924,0.30848718999970287,2484065216,5
sensor_level,lucknow_lcs,Lucknow,location_pm_uptime_density,3,71,321.27901203133865,0.2169358265459874,3748678372,7
sensor_level,lucknow_lcs,Lucknow,location_pm_uptime_density,4,71,272.6148355353963,0.21794962849327218,2260444384,9
sensor_level,lucknow_lcs,Lucknow,location_pm_uptime_density,5,71,233.44618866773976,0.24091232956621436,3503376454,4
sensor_level,lucknow_lcs,Lucknow,location_pm_uptime_density,6,71,203.10308150385904,0.23200318209745258,263573282,11
sensor_level,lucknow_lcs,Lucknow,location_pm_uptime_density,7,71,177.6737948643601,0.26092804567639993,3037834587,6
sensor_level,lucknow_lcs,Lucknow,location_pm_uptime_density,8,71,160.88537014619754,0.25357066572417736,893279997,8
