network,season,days,missingness_pct,median_sensor_uptime_pct
dhaka_lcs,monsoon,122,10.568891491022638,94.84289617486338
dhaka_lcs,post_monsoon,61,11.992583918813427,92.89617486338798
dhaka_lcs,pre_monsoon,92,24.556159420289855,76.72101449275362
dhaka_lcs,winter,90,10.046296296296296,96.66666666666667
lucknow_lcs,monsoon,122,26.217482490571847,81.65983606557377
lucknow_lcs,post_monsoon,61,31.516970676518124,84.76775956284153
lucknow_lcs,pre_monsoon,92,30.850683813023068,71.33152173913044
lucknow_lcs,winter,90,26.502347417840376,89.12037037037037
chicago_aqs,fall,91,0.2745995423340961,99.7254004576659
chicago_aqs,spring,61,52.95610425240055,50.89163237311386
chicago_aqs,summer,1,0.0,100.0
chicago_aqs,winter,90,1.0092592592592593,99.60648148148148
chicago_lcs_corrected,fall,91,4.165719863660367,100.0
chicago_lcs_corrected,spring,92,2.157946267597378,99.77344811961939
chicago_lcs_corrected,summer,1,5.244755244755245,100.0
chicago_lcs_corrected,winter,90,2.806105931105931,100.0
chicago_lcs_raw,fall,91,4.165719863660367,100.0
chicago_lcs_raw,spring,92,2.157946267597378,99.77344811961939
chicago_lcs_raw,summer,1,5.244755244755245,100.0
chicago_lcs_raw,winter,90,2.806105931105931,100.0
