network,filter,distance_band_km,days_evaluated,median_moran_i,positive_moran_i_days_pct,significant_positive_days_pct
dhaka_lcs,baseline_ge_1h,2,365,0.06569318707323372,72.32876712328768,7.9452054794520555
dhaka_lcs,baseline_ge_1h,5,365,-0.0032785020171507786,47.671232876712324,20.0
dhaka_lcs,baseline_ge_1h,10,365,-0.023827868875355256,24.383561643835616,18.63013698630137
dhaka_lcs,filtered_ge_18h,2,364,0.05592831841905005,70.32967032967034,8.516483516483516
dhaka_lcs,filtered_ge_18h,5,365,0.0004236685301743518,50.136986301369866,25.47945205479452
dhaka_lcs,filtered_ge_18h,10,365,-0.01995473921101991,26.84931506849315,19.45205479452055
lucknow_lcs,baseline_ge_1h,2,365,-0.04479821313424509,34.52054794520548,0.273972602739726
lucknow_lcs,baseline_ge_1h,5,365,0.00368419491774325,52.32876712328767,12.054794520547945
lucknow_lcs,baseline_ge_1h,10,365,-0.014082879596137163,35.342465753424655,13.972602739726028
lucknow_lcs,filtered_ge_18h,2,365,-0.0653751956521427,34.24657534246575,0.0
lucknow_lcs,filtered_ge_18h,5,365,-0.02368150356681152,37.80821917808219,5.47945205479452
lucknow_lcs,filtered_ge_18h,10,365,-0.013693175426406815,33.42465753424658,15.342465753424658
chicago_aqs,baseline_ge_1h,2,0,,,
chicago_aqs,baseline_ge_1h,5,214,-0.12229211055840428,35.046728971962615,6.5420560747663545
chicago_aqs,baseline_ge_1h,10,214,-0.1432291518907869,33.177570093457945,3.7383177570093453
chicago_aqs,filtered_ge_18h,2,0,,,
chicago_aqs,filtered_ge_18h,5,211,-0.1254503659421034,33.649289099526065,6.6350710900473935
chicago_aqs,filtered_ge_18h,10,212,-0.15292890970894962,32.54716981132076,3.7735849056603774
chicago_lcs_corrected,baseline_ge_1h,2,243,0.11585283543732058,95.88477366255144,74.07407407407408
chicago_lcs_corrected,baseline_ge_1h,5,243,0.08045641430492485,95.88477366255144,83.9506172839506
chicago_lcs_corrected,baseline_ge_1h,10,243,0.04634196907636518,91.35802469135803,84.36213991769547
chicago_lcs_corrected,filtered_ge_18h,2,242,0.11150267130371413,92.97520661157024,73.96694214876032
chicago_lcs_corrected,filtered_ge_18h,5,242,0.0869527797907321,96.28099173553719,87.19008264462809
chicago_lcs_corrected,filtered_ge_18h,10,242,0.051962060671304225,93.80165289256198,86.36363636363636
chicago_lcs_raw,baseline_ge_1h,2,243,0.22614622812317833,100.0,98.76543209876543
chicago_lcs_raw,baseline_ge_1h,5,243,0.1458504031584304,99.58847736625515,96.70781893004116
chicago_lcs_raw,baseline_ge_1h,10,243,0.06897541884122205,98.76543209876543,96.29629629629629
chicago_lcs_raw,filtered_ge_18h,2,242,0.23021949959653382,100.0,98.7603305785124
chicago_lcs_raw,filtered_ge_18h,5,242,0.14654571388969245,100.0,96.69421487603306
chicago_lcs_raw,filtered_ge_18h,10,242,0.07237776681294136,98.7603305785124,97.52066115702479
