city,dataset_key,sensor_count,weight_scheme,scheme_type,parameter,directed_link_count,undirected_pair_count,zero_neighbor_sensor_count,min_neighbor_count,median_neighbor_count,max_neighbor_count,median_link_distance_km,p90_link_distance_km
Dhaka,dhaka_lcs,35,band_2km,distance_band,2,78,39,14,0.0,1.0,8.0,1.0653992861403974,1.8894541215359753
Dhaka,dhaka_lcs,35,band_5km,distance_band,5,344,172,4,0.0,10.0,18.0,3.1368632116577224,4.680036015148825
Dhaka,dhaka_lcs,35,band_10km,distance_band,10,734,367,1,0.0,24.0,29.0,5.1802051264011135,8.909390589526277
Dhaka,dhaka_lcs,35,knn_4,k_nearest_neighbor,4,140,95,0,4.0,4.0,4.0,2.371080654667736,5.6691069972628005
Dhaka,dhaka_lcs,35,knn_5,k_nearest_neighbor,5,175,121,0,5.0,5.0,5.0,2.4944673723705417,6.57518564307832
Dhaka,dhaka_lcs,35,knn_8,k_nearest_neighbor,8,280,189,0,8.0,8.0,8.0,3.1368632116577224,7.494540940586759
Lucknow,lucknow_lcs,71,band_2km,distance_band,2,66,33,33,0.0,1.0,3.0,1.5568284335828646,1.9166819035895455
Lucknow,lucknow_lcs,71,band_5km,distance_band,5,570,285,11,0.0,8.0,18.0,3.5256016351432238,4.798823198068418
Lucknow,lucknow_lcs,71,band_10km,distance_band,10,1770,885,2,0.0,29.0,46.0,6.458775690326187,9.277447006044012
Lucknow,lucknow_lcs,71,knn_4,k_nearest_neighbor,4,284,189,0,4.0,4.0,4.0,2.7484882904901107,10.373426322401496
Lucknow,lucknow_lcs,71,knn_5,k_nearest_neighbor,5,355,232,0,5.0,5.0,5.0,2.923405005925415,11.728718426419588
Lucknow,lucknow_lcs,71,knn_8,k_nearest_neighbor,8,568,378,0,8.0,8.0,8.0,3.628797197470226,12.434581282199199
Chicago,chicago_lcs_corrected_no_collocation,277,band_2km,distance_band,2,1420,710,0,1.0,5.0,9.0,1.4836972508560398,1.9777813972118294
Chicago,chicago_lcs_corrected_no_collocation,277,band_5km,distance_band,5,7676,3838,0,6.0,29.0,39.0,3.222401676790501,4.498146946847036
Chicago,chicago_lcs_corrected_no_collocation,277,band_10km,distance_band,10,25016,12508,0,33.0,93.0,128.0,6.371728505071614,9.348616093859569
Chicago,chicago_lcs_corrected_no_collocation,277,knn_4,k_nearest_neighbor,4,1108,610,0,4.0,4.0,4.0,1.4308880101900003,1.9387896999389442
Chicago,chicago_lcs_corrected_no_collocation,277,knn_5,k_nearest_neighbor,5,1385,786,0,5.0,5.0,5.0,1.4769957190880196,2.1014067792947873
Chicago,chicago_lcs_corrected_no_collocation,277,knn_8,k_nearest_neighbor,8,2216,1226,0,8.0,8.0,8.0,1.9461085095562907,2.8366857091395783
